video_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
7190392868677160235,0.003279287506461855,0.0,0.006213718770994992,0.0011654092265646766,0.0016259352515915083,0.009841249885327566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03053428083922266,0.0018682901157880602,0.0,0.016235643000771727,0.9150378932762646,0.005444494390884754,0.0,0.0,0.0,0.008753797736127647,0.0
7190551865782914350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048931668568905975,0.04873603077542722,0.0,0.0,0.0,0.0010482543334020893,0.023398363000907425,0.0,0.0,0.8728961432185345,0.0,0.0,0.0,0.004989540102822962,0.0,0.0
7191809362439064874,0.0,0.0,0.13780790920730207,0.180971553220995,0.0,0.05599250916225264,0.022186644083176436,0.0002466552135489195,0.0,0.014606121570362913,0.007698610020363688,0.19212924416134344,0.0,0.0,0.0,0.0,0.0,0.0,0.12471990924334368,0.0,0.0,0.0,0.26364084411731126,0.0,0.0
7192041233680764206,0.0,0.0,0.0,0.0,0.0,0.0,0.09881632112410837,0.0,0.0,0.0,0.0,0.43630050734172066,0.0013219762271530944,0.0,0.0,0.0,0.0,0.0,0.4559769187759728,0.0,0.0,0.0,0.007584276531045111,0.0,0.0
7192450606987070763,4.043437241001497e-05,0.0,0.0,0.0,0.003103055970321935,0.0067108506204481356,0.9423492117829408,0.0,0.0,0.047796447253879125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7194979078540234026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036402171205444545,0.0,0.0,0.9963597828794555,0.0,0.0,0.0,0.0,0.0,0.0
7197871486617636139,0.017927891480669794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005034972649900625,0.0,0.0,0.0,0.0,0.5650063818906155,0.0,0.006061903902750474,0.0,0.0,0.4059688500760636,0.0,0.0,0.0,0.0,0.0
7198139949760433413,0.0,6.224361175428068e-06,0.0,0.0,0.0,0.0,0.00046945320551634097,0.0,0.4542600146646673,0.0,0.002338980362629332,0.0,0.0,0.006607368858640134,0.0,0.0,0.0,0.5239465740856601,0.0,0.0,0.0,0.010434423961580211,0.0,0.001936960500130899,0.0
7198235351985540395,0.0025904953455569333,0.0,0.0,0.0,0.0,0.0,0.0007291636025874623,0.0,0.0,0.0,0.0,0.0,0.0,0.0001325171028315329,0.2898180980167393,0.0,0.0005111076745263073,0.0018525828878861335,0.0,0.7043660353698723,0.0,0.0,0.0,0.0,0.0
7198249027085864238,0.0,0.0,0.0,0.0,0.0062732386487658765,0.0,0.3757711467460159,0.0,0.0,0.0009814992894965342,0.0,0.028046323096100015,0.0,0.0,0.0007715640486018835,0.0,0.0,0.0,0.5656593840921075,0.0,0.0,0.02232525092757427,0.0,0.0001715931513382538,0.0
